id,text,label_level1,label_level2,label_level3,text_length,intent_complexity,sample_type,keywords,confidence_score
1260,我对跨境汇款很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,交易服务,转账汇款,跨境汇款,中等文本,中等,medium,"跨境汇款, 办理, 流程",0.82
1532,请问风险等级对比和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,产品咨询,产品对比,风险等级对比,中等文本,中等,medium,"风险等级对比, 风险",0.99
1625,我对风险等级对比很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,产品咨询,产品对比,风险等级对比,中等文本,中等,medium,"风险等级对比, 风险, 办理, 流程",0.88
1591,我想了解企业开户的相关信息,账户服务,开户注销,企业开户,短文本,简单,short,"企业开户, 开户",0.84
303,信用卡提额被拒怎么办,信贷服务,信用卡服务,额度提升,短文本,简单,short,"额度提升, 信用卡",0.92
745,我对投资组合很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,投资理财,资产配置,投资组合,中等文本,简单,medium,"投资组合, 办理, 流程",0.88
1085,请问贸易融资怎么操作,信贷服务,企业贷款,贸易融资,短文本,简单,short,贸易融资,0.97
1834,我想申购开放式基金,投资理财,基金投资,开放式基金,短文本,简单,short,"开放式基金, 基金",0.87
1652,请问开放式基金的净值是怎么计算的？我关注的是每日净值更新时间以及计算公式，还有影响净值波动的因素有哪些,投资理财,基金投资,开放式基金,中等文本,中等,medium,"开放式基金, 基金",0.9
1073,我对定期调整很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,投资理财,资产配置,定期调整,中等文本,中等,medium,"定期调整, 办理, 流程",0.81
582,请问港股通和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,投资理财,股票投资,港股通,中等文本,中等,medium,港股通,0.87
75,请问管理费怎么操作,产品咨询,费用说明,管理费,短文本,简单,short,管理费,0.89
190,我想了解管理费的相关信息,产品咨询,费用说明,管理费,短文本,简单,short,管理费,0.94
1123,请问美股交易怎么操作,投资理财,股票投资,美股交易,短文本,简单,short,美股交易,0.97
1980,新股申购需要什么条件,投资理财,股票投资,新股申购,短文本,简单,short,"新股申购, 条件",0.9
1424,请问人脸识别怎么操作,账户服务,安全验证,人脸识别,短文本,简单,short,人脸识别,0.92
633,我想了解额度调整的相关信息,信贷服务,额度管理,额度调整,短文本,简单,short,"额度调整, 额度",1.0
1270,请问产品说明书怎么操作,风险合规,信息披露,产品说明书,短文本,简单,short,产品说明书,0.89
832,我想了解账单分期的相关信息,信贷服务,信用卡服务,账单分期,短文本,简单,short,账单分期,0.95
198,我想了解历史收益查询的相关信息,产品咨询,收益计算,历史收益查询,短文本,简单,short,"历史收益查询, 收益, 查询",0.87
165,我想了解健康保险的相关信息,投资理财,保险规划,健康保险,短文本,简单,short,"健康保险, 保险",0.93
1831,请问稳健型产品怎么操作,产品咨询,产品推荐,稳健型产品,短文本,简单,short,稳健型产品,0.98
573,请问健康保险和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,投资理财,保险规划,健康保险,中等文本,简单,medium,"健康保险, 保险",0.85
799,跨行转账限额是多少,交易服务,转账汇款,跨行转账,短文本,简单,short,"跨行转账, 转账",0.93
824,请问委托授权和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,账户服务,权限设置,委托授权,中等文本,中等,medium,委托授权,0.86
922,我想了解健康保险的相关信息,投资理财,保险规划,健康保险,短文本,简单,short,"健康保险, 保险",0.91
786,新股申购需要什么条件,投资理财,股票投资,新股申购,短文本,简单,short,"新股申购, 条件",0.86
1269,反洗钱审核要多久,风险合规,合规咨询,反洗钱,短文本,简单,short,反洗钱,0.99
199,税费缴纳的具体流程是什么,交易服务,支付缴费,税费缴纳,短文本,简单,short,"税费缴纳, 流程",0.84
864,请问代扣设置和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,交易服务,代扣代缴,代扣设置,中等文本,简单,medium,代扣设置,0.87
111,我对担保方式很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,信贷服务,额度管理,担保方式,中等文本,中等,medium,"担保方式, 办理, 流程",0.86
51,实时转账的具体流程是什么,交易服务,转账汇款,实时转账,短文本,简单,short,"实时转账, 转账, 流程",0.98
1770,我想了解结构性存款的相关信息,投资理财,理财产品,结构性存款,短文本,简单,short,"结构性存款, 存款",0.92
1355,请问基金赎回和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,投资理财,基金投资,基金赎回,中等文本,简单,medium,"基金赎回, 基金",0.9
140,基金转换需要什么条件,投资理财,基金投资,基金转换,短文本,简单,short,"基金转换, 基金, 条件",0.97
1227,请问交易记录怎么操作,交易服务,交易查询,交易记录,短文本,简单,short,交易记录,0.98
639,美股交易需要什么条件,投资理财,股票投资,美股交易,短文本,简单,short,"美股交易, 条件",0.94
718,我想了解权限冻结的相关信息,账户服务,权限设置,权限冻结,短文本,简单,short,权限冻结,0.93
758,定投基金有什么好处,投资理财,基金投资,基金定投,短文本,简单,short,"基金定投, 基金",0.98
603,基金定投怎么设置,投资理财,基金投资,基金定投,短文本,简单,short,"基金定投, 基金",0.88
1893,贸易融资需要什么条件,信贷服务,企业贷款,贸易融资,短文本,简单,short,"贸易融资, 条件",0.82
1639,我对A股交易很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,投资理财,股票投资,A股交易,中等文本,中等,medium,"A股交易, 办理, 流程",0.98
1004,我对新股申购很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,投资理财,股票投资,新股申购,中等文本,中等,medium,"新股申购, 办理, 流程",0.91
574,低风险产品需要什么条件,产品咨询,产品推荐,低风险产品,短文本,简单,short,"低风险产品, 风险, 条件",0.98
1114,我对账户注销很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,账户服务,开户注销,账户注销,中等文本,中等,medium,"账户注销, 办理, 流程",0.85
1575,请问跨境汇款怎么操作,交易服务,转账汇款,跨境汇款,短文本,简单,short,跨境汇款,0.83
435,我对预约转账很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,交易服务,转账汇款,预约转账,中等文本,简单,medium,"预约转账, 转账, 办理, 流程",0.84
1744,债券基金适合长期持有吗,投资理财,基金投资,债券基金,短文本,简单,short,"债券基金, 基金",0.85
610,请问产品优缺点和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,产品咨询,产品对比,产品优缺点,中等文本,中等,medium,产品优缺点,0.99
694,我有10万块钱想买债券基金，请问国债基金和信用债基金哪个更安全？收益大概有多少？,投资理财,基金投资,债券基金,中等文本,中等,medium,"债券基金, 收益, 基金",0.84
685,请问产品公告怎么操作,风险合规,信息披露,产品公告,短文本,简单,short,产品公告,0.97
374,我想了解预约转账的相关信息,交易服务,转账汇款,预约转账,短文本,简单,short,"预约转账, 转账",0.91
440,请问货币基金和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,投资理财,基金投资,货币基金,中等文本,简单,medium,"货币基金, 基金",0.89
1890,我对财产保险很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,投资理财,保险规划,财产保险,中等文本,中等,medium,"财产保险, 保险, 办理, 流程",0.94
1210,我想了解身份识别的相关信息,风险合规,合规咨询,身份识别,短文本,简单,short,身份识别,0.91
385,代扣设置需要什么条件,交易服务,代扣代缴,代扣设置,短文本,简单,short,"代扣设置, 条件",0.82
0,净值型理财的具体流程是什么,投资理财,理财产品,净值型理财,短文本,简单,short,"净值型理财, 理财, 流程",0.93
576,我对代扣取消很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,交易服务,代扣代缴,代扣取消,中等文本,简单,medium,"代扣取消, 办理, 流程",0.91
748,登录密码要求包含大小写字母和数字，请问具体是什么格式？最少要几位字符,账户服务,密码管理,登录密码,中等文本,简单,medium,"登录密码, 密码",0.82
1863,我对办卡申请很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,信贷服务,信用卡服务,办卡申请,中等文本,简单,medium,"办卡申请, 申请, 办理, 流程",0.84
1350,固定资产贷款的具体流程是什么,信贷服务,企业贷款,固定资产贷款,短文本,简单,short,"固定资产贷款, 贷款, 流程",0.82
88,债券基金的久期是什么意思？对我选择债券基金有什么影响？请问在利率上行和下行环境下应该怎么选择久期,投资理财,基金投资,债券基金,中等文本,简单,medium,"债券基金, 利率, 基金",0.97
1824,指数基金怎么选,投资理财,基金投资,指数基金,短文本,简单,short,"指数基金, 基金",0.94
1507,固定资产贷款需要什么条件,信贷服务,企业贷款,固定资产贷款,短文本,简单,short,"固定资产贷款, 贷款, 条件",0.88
1285,财产保险的具体流程是什么,投资理财,保险规划,财产保险,短文本,简单,short,"财产保险, 保险, 流程",0.86
1679,我对贷款计算很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,信贷服务,个人贷款,贷款计算,中等文本,中等,medium,"贷款计算, 贷款, 办理, 流程",0.86
795,请问担保方式怎么操作,信贷服务,额度管理,担保方式,短文本,简单,short,担保方式,0.85
1934,请问实名认证和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,账户服务,安全验证,实名认证,中等文本,中等,medium,实名认证,0.86
317,请问车险和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,投资理财,保险规划,车险,中等文本,中等,medium,车险,0.87
1312,请问盾卡管理和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,账户服务,安全验证,盾卡管理,中等文本,简单,medium,盾卡管理,0.81
891,请问对账单怎么操作,交易服务,交易查询,对账单,短文本,简单,short,对账单,0.94
1565,我想了解税费缴纳的相关信息,交易服务,支付缴费,税费缴纳,短文本,简单,short,税费缴纳,0.88
1430,交易权限的具体流程是什么,账户服务,权限设置,交易权限,短文本,简单,short,"交易权限, 流程",0.87
1378,净值型理财的具体流程是什么,投资理财,理财产品,净值型理财,短文本,简单,short,"净值型理财, 理财, 流程",0.86
1109,请问支付密码怎么操作,账户服务,密码管理,支付密码,短文本,简单,short,"支付密码, 密码",0.81
1711,请问净值型理财怎么操作,投资理财,理财产品,净值型理财,短文本,简单,short,"净值型理财, 理财",0.86
1452,我想了解额度调整的相关信息,信贷服务,额度管理,额度调整,短文本,简单,short,"额度调整, 额度",0.83
678,请问赎回费和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,产品咨询,费用说明,赎回费,中等文本,简单,medium,赎回费,0.99
344,请问风险提示书怎么操作,风险合规,信息披露,风险提示书,短文本,简单,short,"风险提示书, 风险",0.9
1255,我的风险评估结果是稳健型，请问可以买哪些理财产品？能不能买R3风险等级的产品,投资理财,资产配置,风险评估,中等文本,简单,medium,"风险评估, 风险, 理财",0.89
571,我想了解风险测评的相关信息,风险合规,风险评估,风险测评,短文本,简单,short,"风险测评, 风险",0.92
517,密码输错多次被锁定了,账户服务,密码管理,登录密码,短文本,简单,short,"登录密码, 密码",0.87
273,开放式基金有哪些,投资理财,基金投资,开放式基金,短文本,简单,short,"开放式基金, 基金",0.89
594,我对产品说明书很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,风险合规,信息披露,产品说明书,中等文本,简单,medium,"产品说明书, 办理, 流程",0.94
1582,请问投资组合怎么操作,投资理财,资产配置,投资组合,短文本,简单,short,投资组合,0.96
1632,反洗钱要提供什么材料,风险合规,合规咨询,反洗钱,短文本,简单,short,"反洗钱, 材料",0.82
1814,我想了解跨境汇款的相关信息,交易服务,转账汇款,跨境汇款,短文本,简单,short,跨境汇款,0.96
907,我对代扣设置很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,交易服务,代扣代缴,代扣设置,中等文本,简单,medium,"代扣设置, 办理, 流程",0.93
1043,请问低风险产品怎么操作,产品咨询,产品推荐,低风险产品,短文本,简单,short,"低风险产品, 风险",0.88
696,我想了解授信管理的相关信息,信贷服务,额度管理,授信管理,短文本,简单,short,授信管理,0.94
1433,请问办卡申请和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,信贷服务,信用卡服务,办卡申请,中等文本,简单,medium,"办卡申请, 申请",0.8
431,请问保险理赔和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,投资理财,保险规划,保险理赔,中等文本,中等,medium,"保险理赔, 保险",0.83
590,怎么提升信用卡额度,信贷服务,信用卡服务,额度提升,短文本,简单,short,"额度提升, 额度, 信用卡",0.96
1921,银行理财需要什么条件,投资理财,理财产品,银行理财,短文本,简单,short,"银行理财, 理财, 条件",0.9
1486,我对管理费很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,产品咨询,费用说明,管理费,中等文本,简单,medium,"管理费, 办理, 流程",0.95
470,稳健型产品需要什么条件,产品咨询,产品推荐,稳健型产品,短文本,简单,short,"稳健型产品, 条件",0.97
1835,我想了解热门产品的相关信息,产品咨询,产品推荐,热门产品,短文本,简单,short,热门产品,0.9
230,请问转账限额怎么操作,账户服务,权限设置,转账限额,短文本,简单,short,"转账限额, 转账",0.87
1984,请问承受能力怎么操作,风险合规,风险评估,承受能力,短文本,简单,short,承受能力,0.81
158,请问休眠账户激活怎么操作,账户服务,开户注销,休眠账户激活,短文本,简单,short,休眠账户激活,0.96
1054,信息披露查询需要什么条件,风险合规,信息披露,信息披露查询,短文本,简单,short,"信息披露查询, 查询, 条件",0.97
716,请问跨境汇款和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,交易服务,转账汇款,跨境汇款,中等文本,简单,medium,跨境汇款,0.86
1244,历史收益查询需要什么条件,产品咨询,收益计算,历史收益查询,短文本,简单,short,"历史收益查询, 收益, 查询, 条件",0.98
444,请问额度调整怎么操作,信贷服务,额度管理,额度调整,短文本,简单,short,"额度调整, 额度",0.87
1167,支付密码的具体流程是什么,账户服务,密码管理,支付密码,短文本,简单,short,"支付密码, 密码, 流程",0.94
1821,我对临时额度很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,信贷服务,信用卡服务,临时额度,中等文本,简单,medium,"临时额度, 额度, 办理, 流程",0.96
1071,风险测评的具体流程是什么,风险合规,风险评估,风险测评,短文本,简单,short,"风险测评, 风险, 流程",0.81
1619,我对意外险很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,投资理财,保险规划,意外险,中等文本,中等,medium,"意外险, 办理, 流程",0.89
1531,请问代扣设置和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,交易服务,代扣代缴,代扣设置,中等文本,简单,medium,代扣设置,0.85
1086,请问预约转账和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,交易服务,转账汇款,预约转账,中等文本,简单,medium,"预约转账, 转账",0.89
717,我想了解盾卡管理的相关信息,账户服务,安全验证,盾卡管理,短文本,简单,short,盾卡管理,0.86
1458,我想了解交通罚款的相关信息,交易服务,支付缴费,交通罚款,短文本,简单,short,交通罚款,0.97
1643,请问税费缴纳怎么操作,交易服务,支付缴费,税费缴纳,短文本,简单,short,税费缴纳,0.91
58,充值没到账怎么办,交易服务,支付缴费,手机充值,短文本,简单,short,手机充值,0.87
178,产品公告需要什么条件,风险合规,信息披露,产品公告,短文本,简单,short,"产品公告, 条件",0.93
580,投资组合的具体流程是什么,投资理财,资产配置,投资组合,短文本,简单,short,"投资组合, 流程",0.91
849,请问风险等级对比怎么操作,产品咨询,产品对比,风险等级对比,短文本,简单,short,"风险等级对比, 风险",0.85
516,我对进取型产品很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,产品咨询,产品推荐,进取型产品,中等文本,简单,medium,"进取型产品, 办理, 流程",0.96
1780,手续费需要什么条件,产品咨询,费用说明,手续费,短文本,简单,short,"手续费, 条件",0.81
1327,请问预期收益怎么操作,产品咨询,收益计算,预期收益,短文本,简单,short,"预期收益, 收益",0.96
677,实名认证的具体流程是什么,账户服务,安全验证,实名认证,短文本,简单,short,"实名认证, 流程",0.99
1008,首套房和二套房的房贷利率差多少？我现在有一套房还在贷款中，想再买一套的话首付比例和利率分别是多少,信贷服务,个人贷款,房贷,中等文本,中等,medium,"房贷, 利率, 贷款",0.85
127,我想了解转账限额的相关信息,账户服务,权限设置,转账限额,短文本,简单,short,"转账限额, 转账",0.95
157,我想了解固定资产贷款的相关信息,信贷服务,企业贷款,固定资产贷款,短文本,简单,short,"固定资产贷款, 贷款",0.87
367,账户注销的具体流程是什么,账户服务,开户注销,账户注销,短文本,简单,short,"账户注销, 流程",0.99
55,贷款计算的具体流程是什么,信贷服务,个人贷款,贷款计算,短文本,简单,short,"贷款计算, 贷款, 流程",0.98
1505,产品说明书需要什么条件,风险合规,信息披露,产品说明书,短文本,简单,short,"产品说明书, 条件",0.87
1126,我想了解贷款审批的相关信息,信贷服务,企业贷款,贷款审批,短文本,简单,short,"贷款审批, 贷款",0.85
1473,我对人脸识别很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,账户服务,安全验证,人脸识别,中等文本,简单,medium,"人脸识别, 办理, 流程",0.81
611,请问复利计算和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,产品咨询,收益计算,复利计算,中等文本,中等,medium,复利计算,0.99
1488,请问自动缴费怎么操作,交易服务,代扣代缴,自动缴费,短文本,简单,short,"自动缴费, 缴费",0.82
942,我对净值型理财很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,投资理财,理财产品,净值型理财,中等文本,简单,medium,"净值型理财, 理财, 办理, 流程",1.0
1887,A股交易需要什么条件,投资理财,股票投资,A股交易,短文本,简单,short,"A股交易, 条件",0.88
1352,请问临时额度怎么操作,信贷服务,信用卡服务,临时额度,短文本,简单,short,"临时额度, 额度",0.89
1787,请问贷款审批和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,信贷服务,企业贷款,贷款审批,中等文本,简单,medium,"贷款审批, 贷款",0.83
1226,我想了解意外险的相关信息,投资理财,保险规划,意外险,短文本,简单,short,意外险,0.98
1404,请问资产配置建议怎么操作,投资理财,资产配置,资产配置建议,短文本,简单,short,资产配置建议,0.82
1359,基金定投多少钱合适,投资理财,基金投资,基金定投,短文本,简单,short,"基金定投, 基金",0.82
265,风险测评是什么,投资理财,资产配置,风险评估,短文本,简单,short,"风险评估, 风险",0.97
1891,收到信用卡后要做什么,信贷服务,信用卡服务,信用卡激活,短文本,简单,short,"信用卡激活, 信用卡",0.93
964,我对风险提示很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,风险合规,风险评估,风险提示,中等文本,中等,medium,"风险提示, 风险, 办理, 流程",0.85
1399,我对保险理赔很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,投资理财,保险规划,保险理赔,中等文本,中等,medium,"保险理赔, 保险, 办理, 流程",0.93
412,我想了解经营贷的相关信息,信贷服务,个人贷款,经营贷,短文本,简单,short,经营贷,0.98
50,我想了解低风险产品的相关信息,产品咨询,产品推荐,低风险产品,短文本,简单,short,"低风险产品, 风险",0.92
962,税费缴纳需要什么条件,交易服务,支付缴费,税费缴纳,短文本,简单,short,"税费缴纳, 条件",0.91
1140,贸易融资的具体流程是什么,信贷服务,企业贷款,贸易融资,短文本,简单,short,"贸易融资, 流程",0.91
1911,我对风险等级很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,风险合规,风险评估,风险等级,中等文本,简单,medium,"风险等级, 风险, 办理, 流程",0.86
489,请问基金赎回怎么操作,投资理财,基金投资,基金赎回,短文本,简单,short,"基金赎回, 基金",0.86
1014,身份识别需要什么条件,风险合规,合规咨询,身份识别,短文本,简单,short,"身份识别, 条件",0.96
1528,我对持仓分析很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,投资理财,股票投资,持仓分析,中等文本,中等,medium,"持仓分析, 办理, 流程",0.84
362,我对支付密码很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,账户服务,密码管理,支付密码,中等文本,简单,medium,"支付密码, 密码, 办理, 流程",0.84
1640,信息披露查询需要什么条件,风险合规,信息披露,信息披露查询,短文本,简单,short,"信息披露查询, 查询, 条件",0.91
1463,我对贸易融资很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,信贷服务,企业贷款,贸易融资,中等文本,中等,medium,"贸易融资, 办理, 流程",0.83
210,请问休眠账户激活和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,账户服务,开户注销,休眠账户激活,中等文本,简单,medium,休眠账户激活,0.93
679,请问信用贷怎么操作,信贷服务,个人贷款,信用贷,短文本,简单,short,信用贷,0.82
503,请问手续费怎么操作,产品咨询,费用说明,手续费,短文本,简单,short,手续费,0.85
1615,电子回单需要什么条件,交易服务,交易查询,电子回单,短文本,简单,short,"电子回单, 条件",0.9
1960,转账限额需要什么条件,账户服务,权限设置,转账限额,短文本,简单,short,"转账限额, 转账, 条件",0.83
1211,我想装修房子需要30万，请问消费贷的申请流程是什么？需要提供哪些材料？大概多久能批下来,信贷服务,个人贷款,消费贷,中等文本,简单,medium,"消费贷, 申请, 流程, 材料",0.98
202,我想了解稳健型产品的相关信息,产品咨询,产品推荐,稳健型产品,短文本,简单,short,稳健型产品,0.8
1753,人脸识别需要什么条件,账户服务,安全验证,人脸识别,短文本,简单,short,"人脸识别, 条件",0.94
1564,产品优缺点需要什么条件,产品咨询,产品对比,产品优缺点,短文本,简单,short,"产品优缺点, 条件",0.94
819,请问港股通怎么操作,投资理财,股票投资,港股通,短文本,简单,short,港股通,0.86
417,我对承受能力很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,风险合规,风险评估,承受能力,中等文本,中等,medium,"承受能力, 办理, 流程",0.87
1627,支付密码的具体流程是什么,账户服务,密码管理,支付密码,短文本,简单,short,"支付密码, 密码, 流程",0.93
578,我想了解身份识别的相关信息,风险合规,合规咨询,身份识别,短文本,简单,short,身份识别,0.93
788,我想了解账户注销的相关信息,账户服务,开户注销,账户注销,短文本,简单,short,账户注销,0.97
834,请问经营贷和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,信贷服务,个人贷款,经营贷,中等文本,简单,medium,经营贷,0.83
1450,风险等级对比需要什么条件,产品咨询,产品对比,风险等级对比,短文本,简单,short,"风险等级对比, 风险, 条件",0.99
206,信用贷的具体流程是什么,信贷服务,个人贷款,信用贷,短文本,简单,short,"信用贷, 流程",0.81
1329,手机银行能充值吗,交易服务,支付缴费,手机充值,短文本,简单,short,手机充值,0.94
667,请问自动缴费和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求,交易服务,代扣代缴,自动缴费,中等文本,中等,medium,"自动缴费, 缴费",0.95
1173,风险等级对比的具体流程是什么,产品咨询,产品对比,风险等级对比,短文本,简单,short,"风险等级对比, 风险, 流程",0.85
1431,进取型产品需要什么条件,产品咨询,产品推荐,进取型产品,短文本,简单,short,"进取型产品, 条件",0.94
938,信用卡怎么激活,信贷服务,信用卡服务,信用卡激活,短文本,简单,short,"信用卡激活, 信用卡",0.95
430,休眠账户激活需要什么条件,账户服务,开户注销,休眠账户激活,短文本,简单,short,"休眠账户激活, 条件",0.89
1800,我想了解产品优缺点的相关信息,产品咨询,产品对比,产品优缺点,短文本,简单,short,产品优缺点,0.87
833,我想了解费用对比的相关信息,产品咨询,产品对比,费用对比,短文本,简单,short,费用对比,0.86
1700,请问承受能力怎么操作,风险合规,风险评估,承受能力,短文本,简单,short,承受能力,0.97
896,请问财产保险怎么操作,投资理财,保险规划,财产保险,短文本,简单,short,"财产保险, 保险",0.86
1033,合规要求的具体流程是什么,风险合规,合规咨询,合规要求,短文本,简单,short,"合规要求, 流程",0.98
1148,怎么交水电费,交易服务,支付缴费,水电煤缴费,短文本,简单,short,水电煤缴费,0.86
1868,行内转账的限额是多少？我需要转账5万块钱，能不能一次性转出去,交易服务,转账汇款,行内转账,短文本,简单,short,"行内转账, 转账",0.86
818,稳健型产品的具体流程是什么,产品咨询,产品推荐,稳健型产品,短文本,简单,short,"稳健型产品, 流程",0.96
884,密码找回需要什么条件,账户服务,密码管理,密码找回,短文本,简单,short,"密码找回, 密码, 条件",0.85
34,转账限额的具体流程是什么,账户服务,权限设置,转账限额,短文本,简单,short,"转账限额, 转账, 流程",0.97
