id,text,label_level1,label_level2,label_level3,text_length,intent_complexity,sample_type,keywords,confidence_score
24,"怎么修改登录密码","账户服务","密码管理","登录密码","短文本","简单","short","登录密码, 密码",0.90
25,"请问预约转账怎么操作","交易服务","转账汇款","预约转账","短文本","简单","short","预约转账, 转账",0.89
26,"办卡申请的具体流程是什么","信贷服务","信用卡服务","办卡申请","短文本","简单","short","办卡申请, 申请, 流程",0.95
27,"人寿保险的具体流程是什么","投资理财","保险规划","人寿保险","短文本","简单","short","人寿保险, 保险, 流程",0.92
28,"开放式基金怎么买","投资理财","基金投资","开放式基金","短文本","简单","short","开放式基金, 基金",0.83
29,"我想了解预约转账的相关信息","交易服务","转账汇款","预约转账","短文本","简单","short","预约转账, 转账",0.83
30,"请问投资组合怎么操作","投资理财","资产配置","投资组合","短文本","简单","short","投资组合",0.97
31,"转账限额需要什么条件","账户服务","权限设置","转账限额","短文本","简单","short","转账限额, 转账, 条件",0.80
32,"保险理赔需要什么条件","投资理财","保险规划","保险理赔","短文本","简单","short","保险理赔, 保险, 条件",0.86
33,"我想了解额度查询的相关信息","信贷服务","额度管理","额度查询","短文本","简单","short","额度查询, 额度, 查询",0.88
34,"转账限额的具体流程是什么","账户服务","权限设置","转账限额","短文本","简单","short","转账限额, 转账, 流程",0.97
35,"请问费用对比和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","产品咨询","产品对比","费用对比","中等文本","简单","medium","费用对比",0.95
36,"请问产品优缺点怎么操作","产品咨询","产品对比","产品优缺点","短文本","简单","short","产品优缺点",0.93
37,"请问贸易融资和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","信贷服务","企业贷款","贸易融资","中等文本","中等","medium","贸易融资",0.91
38,"我给朋友转钱，他也是你们银行的，请问转账要手续费吗？即时到账吗","交易服务","转账汇款","行内转账","中等文本","简单","medium","行内转账, 转账, 手续费",0.98
39,"请问新股申购怎么操作","投资理财","股票投资","新股申购","短文本","简单","short","新股申购",0.83
40,"担保方式需要什么条件","信贷服务","额度管理","担保方式","短文本","简单","short","担保方式, 条件",0.83
41,"请问手续费和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","产品咨询","费用说明","手续费","中等文本","中等","medium","手续费",1.00
42,"我想了解电子回单的相关信息","交易服务","交易查询","电子回单","短文本","简单","short","电子回单",0.88
43,"请问投资组合和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","投资理财","资产配置","投资组合","中等文本","中等","medium","投资组合",1.00
44,"房贷利率是多少","信贷服务","个人贷款","房贷","短文本","简单","short","房贷, 利率",0.96
45,"请问授信管理怎么操作","信贷服务","额度管理","授信管理","短文本","简单","short","授信管理",0.94
46,"信用贷的具体流程是什么","信贷服务","个人贷款","信用贷","短文本","简单","short","信用贷, 流程",0.98
47,"我对合规要求很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","风险合规","合规咨询","合规要求","中等文本","简单","medium","合规要求, 办理, 流程",0.92
48,"反洗钱审核要多久","风险合规","合规咨询","反洗钱","短文本","简单","short","反洗钱",0.81
49,"我想了解代扣查询的相关信息","交易服务","代扣代缴","代扣查询","短文本","简单","short","代扣查询, 查询",0.94
50,"我想了解低风险产品的相关信息","产品咨询","产品推荐","低风险产品","短文本","简单","short","低风险产品, 风险",0.92
51,"实时转账的具体流程是什么","交易服务","转账汇款","实时转账","短文本","简单","short","实时转账, 转账, 流程",0.98
52,"办卡申请需要什么条件","信贷服务","信用卡服务","办卡申请","短文本","简单","short","办卡申请, 申请, 条件",0.92
53,"产品公告的具体流程是什么","风险合规","信息披露","产品公告","短文本","简单","short","产品公告, 流程",0.89
54,"请问跨境汇款怎么操作","交易服务","转账汇款","跨境汇款","短文本","简单","short","跨境汇款",1.00
55,"贷款计算的具体流程是什么","信贷服务","个人贷款","贷款计算","短文本","简单","short","贷款计算, 贷款, 流程",0.98
56,"请问持仓分析怎么操作","投资理财","股票投资","持仓分析","短文本","简单","short","持仓分析",0.97
57,"请问盾卡管理怎么操作","账户服务","安全验证","盾卡管理","短文本","简单","short","盾卡管理",0.87
58,"充值没到账怎么办","交易服务","支付缴费","手机充值","短文本","简单","short","手机充值",0.87
59,"请问信息披露查询怎么操作","风险合规","信息披露","信息披露查询","短文本","简单","short","信息披露查询, 查询",0.87
60,"请问保险理赔怎么操作","投资理财","保险规划","保险理赔","短文本","简单","short","保险理赔, 保险",0.88
61,"我对复利计算很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","产品咨询","收益计算","复利计算","中等文本","简单","medium","复利计算, 办理, 流程",0.83
62,"担保方式需要什么条件","信贷服务","额度管理","担保方式","短文本","简单","short","担保方式, 条件",0.82
63,"请问风险等级对比和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","产品咨询","产品对比","风险等级对比","中等文本","简单","medium","风险等级对比, 风险",0.95
64,"港股通需要什么条件","投资理财","股票投资","港股通","短文本","简单","short","港股通, 条件",0.82
65,"请问交易权限和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","账户服务","权限设置","交易权限","中等文本","中等","medium","交易权限",0.87
66,"我对A股交易很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","投资理财","股票投资","A股交易","中等文本","简单","medium","A股交易, 办理, 流程",0.92
67,"请问股票查询和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","投资理财","股票投资","股票查询","中等文本","简单","medium","股票查询, 股票, 查询",0.97
68,"我想了解股票查询的相关信息","投资理财","股票投资","股票查询","短文本","简单","short","股票查询, 股票, 查询",0.93
69,"请问信用贷和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","信贷服务","个人贷款","信用贷","中等文本","中等","medium","信用贷",0.89
70,"我想了解资产配置建议的相关信息","投资理财","资产配置","资产配置建议","短文本","简单","short","资产配置建议",0.91
71,"我想了解跨境汇款的相关信息","交易服务","转账汇款","跨境汇款","短文本","简单","short","跨境汇款",0.88
72,"请问交通罚款和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","交易服务","支付缴费","交通罚款","中等文本","中等","medium","交通罚款",0.80
73,"风险评估怎么做","投资理财","资产配置","风险评估","短文本","简单","short","风险评估, 风险",0.91
74,"我想了解跨境汇款的相关信息","交易服务","转账汇款","跨境汇款","短文本","简单","short","跨境汇款",0.97
75,"请问管理费怎么操作","产品咨询","费用说明","管理费","短文本","简单","short","管理费",0.89
76,"电子回单需要什么条件","交易服务","交易查询","电子回单","短文本","简单","short","电子回单, 条件",0.97
77,"请问电子回单和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","交易服务","交易查询","电子回单","中等文本","简单","medium","电子回单",0.87
78,"房贷利率是多少","信贷服务","个人贷款","房贷","短文本","简单","short","房贷, 利率",0.94
79,"实际收益需要什么条件","产品咨询","收益计算","实际收益","短文本","简单","short","实际收益, 收益, 条件",0.95
80,"我想了解保险理赔的相关信息","投资理财","保险规划","保险理赔","短文本","简单","short","保险理赔, 保险",0.86
81,"我想做基金定投，每月定投2000元，请问是选周定投好还是月定投好？","投资理财","基金投资","基金定投","中等文本","中等","medium","基金定投, 基金",0.86
82,"代扣查询需要什么条件","交易服务","代扣代缴","代扣查询","短文本","简单","short","代扣查询, 查询, 条件",0.88
83,"我想了解风险等级对比的相关信息","产品咨询","产品对比","风险等级对比","短文本","简单","short","风险等级对比, 风险",0.99
84,"风险提示的具体流程是什么","风险合规","风险评估","风险提示","短文本","简单","short","风险提示, 风险, 流程",0.97
85,"怎么提升信用卡额度","信贷服务","信用卡服务","额度提升","短文本","简单","short","额度提升, 额度, 信用卡",0.92
86,"我对财产保险很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","投资理财","保险规划","财产保险","中等文本","简单","medium","财产保险, 保险, 办理, 流程",0.93
87,"跨境汇款需要什么条件","交易服务","转账汇款","跨境汇款","短文本","简单","short","跨境汇款, 条件",0.81
88,"债券基金的久期是什么意思？对我选择债券基金有什么影响？请问在利率上行和下行环境下应该怎么选择久期","投资理财","基金投资","债券基金","中等文本","简单","medium","债券基金, 利率, 基金",0.97
89,"密码找回需要什么条件","账户服务","密码管理","密码找回","短文本","简单","short","密码找回, 密码, 条件",0.91
90,"定投基金有什么好处","投资理财","基金投资","基金定投","短文本","简单","short","基金定投, 基金",0.93
91,"手机银行可以给手机充值吗？我有两张手机卡都能充吗？","交易服务","支付缴费","手机充值","短文本","简单","short","手机充值",0.98
92,"我对身份识别很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","风险合规","合规咨询","身份识别","中等文本","简单","medium","身份识别, 办理, 流程",0.93
93,"请问流动资金贷款怎么操作","信贷服务","企业贷款","流动资金贷款","短文本","简单","short","流动资金贷款, 贷款",0.87
94,"低风险产品的具体流程是什么","产品咨询","产品推荐","低风险产品","短文本","简单","short","低风险产品, 风险, 流程",0.94
95,"复利计算的具体流程是什么","产品咨询","收益计算","复利计算","短文本","简单","short","复利计算, 流程",0.86
96,"定期调整需要什么条件","投资理财","资产配置","定期调整","短文本","简单","short","定期调整, 条件",0.94
97,"反洗钱要提供什么材料","风险合规","合规咨询","反洗钱","短文本","简单","short","反洗钱, 材料",0.98
98,"请问结构性存款怎么操作","投资理财","理财产品","结构性存款","短文本","简单","short","结构性存款, 存款",0.84
99,"我对额度调整很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","信贷服务","额度管理","额度调整","中等文本","中等","medium","额度调整, 额度, 办理, 流程",0.90
100,"费用对比的具体流程是什么","产品咨询","产品对比","费用对比","短文本","简单","short","费用对比, 流程",0.94
101,"请问股票查询和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","投资理财","股票投资","股票查询","中等文本","中等","medium","股票查询, 股票, 查询",0.93
102,"风险提示需要什么条件","风险合规","风险评估","风险提示","短文本","简单","short","风险提示, 风险, 条件",0.81
103,"开户需要什么证件","账户服务","开户注销","个人开户","短文本","简单","short","个人开户, 开户",0.92
104,"请问授信管理和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","信贷服务","额度管理","授信管理","中等文本","中等","medium","授信管理",0.90
105,"我对账户注销很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","账户服务","开户注销","账户注销","中等文本","简单","medium","账户注销, 办理, 流程",0.87
106,"我对风险等级很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","风险合规","风险评估","风险等级","中等文本","简单","medium","风险等级, 风险, 办理, 流程",0.84
107,"请问交通罚款怎么操作","交易服务","支付缴费","交通罚款","短文本","简单","short","交通罚款",0.82
108,"风险提示书的具体流程是什么","风险合规","信息披露","风险提示书","短文本","简单","short","风险提示书, 风险, 流程",0.82
109,"信用卡激活期限是多久","信贷服务","信用卡服务","信用卡激活","短文本","简单","short","信用卡激活, 信用卡",0.98
110,"我想了解担保方式的相关信息","信贷服务","额度管理","担保方式","短文本","简单","short","担保方式",0.94
111,"我对担保方式很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","信贷服务","额度管理","担保方式","中等文本","中等","medium","担保方式, 办理, 流程",0.86
112,"电子回单的具体流程是什么","交易服务","交易查询","电子回单","短文本","简单","short","电子回单, 流程",0.84
113,"我想了解净值型理财的相关信息","投资理财","理财产品","净值型理财","短文本","简单","short","净值型理财, 理财",0.89
114,"请问开放式基金的净值是怎么计算的？我关注的是每日净值更新时间以及计算公式，还有影响净值波动的因素有哪些","投资理财","基金投资","开放式基金","中等文本","中等","medium","开放式基金, 基金",0.96
115,"我想了解委托授权的相关信息","账户服务","权限设置","委托授权","短文本","简单","short","委托授权",0.88
116,"我对进取型产品很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","产品咨询","产品推荐","进取型产品","中等文本","简单","medium","进取型产品, 办理, 流程",0.81
117,"我想了解进取型产品的相关信息","产品咨询","产品推荐","进取型产品","短文本","简单","short","进取型产品",0.90
118,"我想了解美股交易的相关信息","投资理财","股票投资","美股交易","短文本","简单","short","美股交易",0.96
119,"账户注销需要什么条件","账户服务","开户注销","账户注销","短文本","简单","short","账户注销, 条件",0.95
120,"实名认证需要什么条件","账户服务","安全验证","实名认证","短文本","简单","short","实名认证, 条件",0.84
121,"我对定期调整很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","投资理财","资产配置","定期调整","中等文本","中等","medium","定期调整, 办理, 流程",0.96
122,"我想了解产品说明书的相关信息","风险合规","信息披露","产品说明书","短文本","简单","short","产品说明书",0.92
123,"请问交通罚款和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","交易服务","支付缴费","交通罚款","中等文本","简单","medium","交通罚款",0.91
124,"请问临时额度怎么操作","信贷服务","信用卡服务","临时额度","短文本","简单","short","临时额度, 额度",0.88
125,"实名认证的具体流程是什么","账户服务","安全验证","实名认证","短文本","简单","short","实名认证, 流程",0.90
126,"贷款计算的具体流程是什么","信贷服务","个人贷款","贷款计算","短文本","简单","short","贷款计算, 贷款, 流程",0.92
127,"我想了解转账限额的相关信息","账户服务","权限设置","转账限额","短文本","简单","short","转账限额, 转账",0.95
128,"我想了解承受能力的相关信息","风险合规","风险评估","承受能力","短文本","简单","short","承受能力",0.95
129,"请问委托授权和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","账户服务","权限设置","委托授权","中等文本","简单","medium","委托授权",0.98
130,"预期收益型需要什么条件","投资理财","理财产品","预期收益型","短文本","简单","short","预期收益型, 收益, 条件",0.84
131,"我有10万块钱想买债券基金，请问国债基金和信用债基金哪个更安全？收益大概有多少？","投资理财","基金投资","债券基金","中等文本","中等","medium","债券基金, 收益, 基金",0.86
132,"我对收益率对比很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","产品咨询","产品对比","收益率对比","中等文本","简单","medium","收益率对比, 收益, 办理, 流程",0.95
133,"请问资产配置建议怎么操作","投资理财","资产配置","资产配置建议","短文本","简单","short","资产配置建议",0.94
134,"我想了解净值型理财的相关信息","投资理财","理财产品","净值型理财","短文本","简单","short","净值型理财, 理财",0.86
135,"信用卡激活要收费吗","信贷服务","信用卡服务","信用卡激活","短文本","简单","short","信用卡激活, 信用卡",0.88
136,"短信验证的具体流程是什么","账户服务","安全验证","短信验证","短文本","简单","short","短信验证, 流程",0.82
137,"我对交易权限很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","账户服务","权限设置","交易权限","中等文本","简单","medium","交易权限, 办理, 流程",0.97
138,"我对短信验证很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","账户服务","安全验证","短信验证","中等文本","中等","medium","短信验证, 办理, 流程",0.84
139,"我对稳健型产品很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","产品咨询","产品推荐","稳健型产品","中等文本","中等","medium","稳健型产品, 办理, 流程",0.98
140,"基金转换需要什么条件","投资理财","基金投资","基金转换","短文本","简单","short","基金转换, 基金, 条件",0.97
141,"我对额度调整很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","信贷服务","额度管理","额度调整","中等文本","中等","medium","额度调整, 额度, 办理, 流程",0.94
142,"我对账单分期很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","信贷服务","信用卡服务","账单分期","中等文本","简单","medium","账单分期, 办理, 流程",0.97
143,"我对预期收益型很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","投资理财","理财产品","预期收益型","中等文本","中等","medium","预期收益型, 收益, 办理, 流程",0.96
144,"请问委托授权怎么操作","账户服务","权限设置","委托授权","短文本","简单","short","委托授权",0.87
145,"我对流动资金贷款很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","信贷服务","企业贷款","流动资金贷款","中等文本","简单","medium","流动资金贷款, 贷款, 办理, 流程",0.96
146,"A股交易需要什么条件","投资理财","股票投资","A股交易","短文本","简单","short","A股交易, 条件",0.97
147,"手机话费怎么充值","交易服务","支付缴费","手机充值","短文本","简单","short","手机充值",0.86
148,"密码重置的具体流程是什么","账户服务","密码管理","密码重置","短文本","简单","short","密码重置, 密码, 流程",0.82
149,"请问港股通怎么操作","投资理财","股票投资","港股通","短文本","简单","short","港股通",0.81
150,"我想了解代扣设置的相关信息","交易服务","代扣代缴","代扣设置","短文本","简单","short","代扣设置",0.88
151,"登录密码要求包含大小写字母和数字，请问具体是什么格式？最少要几位字符","账户服务","密码管理","登录密码","中等文本","中等","medium","登录密码, 密码",0.82
152,"财产保险需要什么条件","投资理财","保险规划","财产保险","短文本","简单","short","财产保险, 保险, 条件",0.91
153,"流动资金贷款需要什么条件","信贷服务","企业贷款","流动资金贷款","短文本","简单","short","流动资金贷款, 贷款, 条件",0.87
154,"请问意外险怎么操作","投资理财","保险规划","意外险","短文本","简单","short","意外险",0.83
155,"请问银行理财和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","投资理财","理财产品","银行理财","中等文本","中等","medium","银行理财, 理财",1.00
156,"我对休眠账户激活很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","账户服务","开户注销","休眠账户激活","中等文本","中等","medium","休眠账户激活, 办理, 流程",0.81
157,"我想了解固定资产贷款的相关信息","信贷服务","企业贷款","固定资产贷款","短文本","简单","short","固定资产贷款, 贷款",0.87
158,"请问休眠账户激活怎么操作","账户服务","开户注销","休眠账户激活","短文本","简单","short","休眠账户激活",0.96
159,"我对实时转账很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","交易服务","转账汇款","实时转账","中等文本","中等","medium","实时转账, 转账, 办理, 流程",0.83
160,"风险评估不通过怎么办","投资理财","资产配置","风险评估","短文本","简单","short","风险评估, 风险",0.91
161,"请问健康保险和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","投资理财","保险规划","健康保险","中等文本","中等","medium","健康保险, 保险",0.86
162,"请问手续费和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","产品咨询","费用说明","手续费","中等文本","简单","medium","手续费",0.93
163,"我对基金赎回很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","投资理财","基金投资","基金赎回","中等文本","中等","medium","基金赎回, 基金, 办理, 流程",0.86
164,"消费贷能贷多少钱","信贷服务","个人贷款","消费贷","短文本","简单","short","消费贷",0.99
165,"我想了解健康保险的相关信息","投资理财","保险规划","健康保险","短文本","简单","short","健康保险, 保险",0.93
166,"预期收益需要什么条件","产品咨询","收益计算","预期收益","短文本","简单","short","预期收益, 收益, 条件",0.89
167,"请问贸易融资怎么操作","信贷服务","企业贷款","贸易融资","短文本","简单","short","贸易融资",0.83
168,"授信管理需要什么条件","信贷服务","额度管理","授信管理","短文本","简单","short","授信管理, 条件",0.90
169,"请问银行理财怎么操作","投资理财","理财产品","银行理财","短文本","简单","short","银行理财, 理财",0.83
170,"我对实际收益很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","产品咨询","收益计算","实际收益","中等文本","简单","medium","实际收益, 收益, 办理, 流程",0.96
171,"我对转账限额很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","账户服务","权限设置","转账限额","中等文本","简单","medium","转账限额, 转账, 办理, 流程",0.81
172,"反洗钱要提供什么材料","风险合规","合规咨询","反洗钱","短文本","简单","short","反洗钱, 材料",0.87
173,"银行理财需要什么条件","投资理财","理财产品","银行理财","短文本","简单","short","银行理财, 理财, 条件",0.97
174,"纯债基金和混合债基的区别","投资理财","基金投资","债券基金","短文本","简单","short","债券基金, 基金",0.96
175,"请问身份识别怎么操作","风险合规","合规咨询","身份识别","短文本","简单","short","身份识别",0.91
176,"基金转换的具体流程是什么","投资理财","基金投资","基金转换","短文本","简单","short","基金转换, 基金, 流程",0.92
177,"请问风险提示书和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","风险合规","信息披露","风险提示书","中等文本","简单","medium","风险提示书, 风险",0.94
178,"产品公告需要什么条件","风险合规","信息披露","产品公告","短文本","简单","short","产品公告, 条件",0.93
179,"合规要求需要什么条件","风险合规","合规咨询","合规要求","短文本","简单","short","合规要求, 条件",0.95
180,"电子回单需要什么条件","交易服务","交易查询","电子回单","短文本","简单","short","电子回单, 条件",0.99
181,"房贷怎么申请","信贷服务","个人贷款","房贷","短文本","简单","short","房贷, 申请",0.97
182,"风险评估有效期多久","投资理财","资产配置","风险评估","短文本","简单","short","风险评估, 风险",0.80
183,"请问代扣查询和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","交易服务","代扣代缴","代扣查询","中等文本","中等","medium","代扣查询, 查询",0.89
184,"流动资金贷款的具体流程是什么","信贷服务","企业贷款","流动资金贷款","短文本","简单","short","流动资金贷款, 贷款, 流程",0.84
185,"风险提示书需要什么条件","风险合规","信息披露","风险提示书","短文本","简单","short","风险提示书, 风险, 条件",0.90
186,"风险提示书需要什么条件","风险合规","信息披露","风险提示书","短文本","简单","short","风险提示书, 风险, 条件",0.95
187,"消费贷和信用卡现金分期哪个更划算？我需要借20万用一年，请问哪种方式的利息更低，有没有其他手续费","信贷服务","个人贷款","消费贷","中等文本","中等","medium","消费贷, 信用卡, 手续费",0.84
188,"我想了解授信管理的相关信息","信贷服务","额度管理","授信管理","短文本","简单","short","授信管理",0.86
189,"合规要求需要什么条件","风险合规","合规咨询","合规要求","短文本","简单","short","合规要求, 条件",0.95
190,"我想了解管理费的相关信息","产品咨询","费用说明","管理费","短文本","简单","short","管理费",0.94
191,"请问复利计算和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","产品咨询","收益计算","复利计算","中等文本","中等","medium","复利计算",0.92
192,"我想了解流动资金贷款的相关信息","信贷服务","企业贷款","流动资金贷款","短文本","简单","short","流动资金贷款, 贷款",0.86
193,"人脸识别的具体流程是什么","账户服务","安全验证","人脸识别","短文本","简单","short","人脸识别, 流程",0.91
194,"跨行转账需要什么信息","交易服务","转账汇款","跨行转账","短文本","简单","short","跨行转账, 转账",0.99
195,"我对产品公告很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","风险合规","信息披露","产品公告","中等文本","中等","medium","产品公告, 办理, 流程",0.84
196,"请问交易权限和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","账户服务","权限设置","交易权限","中等文本","中等","medium","交易权限",1.00
197,"请问额度调整和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","信贷服务","额度管理","额度调整","中等文本","简单","medium","额度调整, 额度",0.96
198,"我想了解历史收益查询的相关信息","产品咨询","收益计算","历史收益查询","短文本","简单","short","历史收益查询, 收益, 查询",0.87
199,"税费缴纳的具体流程是什么","交易服务","支付缴费","税费缴纳","短文本","简单","short","税费缴纳, 流程",0.84
200,"我对固定资产贷款很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","信贷服务","企业贷款","固定资产贷款","中等文本","简单","medium","固定资产贷款, 贷款, 办理, 流程",0.84
201,"请问跨境汇款怎么操作","交易服务","转账汇款","跨境汇款","短文本","简单","short","跨境汇款",0.90
202,"我想了解稳健型产品的相关信息","产品咨询","产品推荐","稳健型产品","短文本","简单","short","稳健型产品",0.80
203,"请问盾卡管理和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","账户服务","安全验证","盾卡管理","中等文本","中等","medium","盾卡管理",0.83
204,"请问转账限额和其他类似服务相比有什么优势？我想做一个详细的了解和对比，看看哪个更适合我的需求","账户服务","权限设置","转账限额","中等文本","中等","medium","转账限额, 转账",0.81
205,"我想了解担保方式的相关信息","信贷服务","额度管理","担保方式","短文本","简单","short","担保方式",0.90
206,"信用贷的具体流程是什么","信贷服务","个人贷款","信用贷","短文本","简单","short","信用贷, 流程",0.81
207,"我想了解交易记录的相关信息","交易服务","交易查询","交易记录","短文本","简单","short","交易记录",0.94
208,"我想了解密码找回的相关信息","账户服务","密码管理","密码找回","短文本","简单","short","密码找回, 密码",0.90
209,"我对账户注销很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程","账户服务","开户注销","账户注销","中等文本","中等","medium","账户注销, 办理, 流程",0.91
